Status,DAMS_ARK,New Predicate,Clean_Label (used for reconciliation can probably be deleted),Action,clustering label,clustering id,MARC_tag,Sample_Object_ARK,Object_Counts
split from complex no match,http://library.ucsd.edu/ark:/20775/bb11618059,not a subject,1936,Omit,,,,http://library.ucsd.edu/dc/object/bb0000817g,2
split from complex no match,http://library.ucsd.edu/ark:/20775/bb8738666t,not a subject,1936,Omit,,,,http://library.ucsd.edu/dc/object/bb96937381,1
split from complex no match,http://library.ucsd.edu/ark:/20775/bb30389577,not a subject,1938,Omit,,,,http://library.ucsd.edu/dc/object/bb06157271,1
split from complex no match,http://library.ucsd.edu/ark:/20775/bb4881974q,not a subject,1938,Omit,,,,http://library.ucsd.edu/dc/object/bb96596041,97
split from complex no match,http://library.ucsd.edu/ark:/20775/bb5530534z,dams:topic,??? ? (Motion picture),Local,,,,http://library.ucsd.edu/dc/object/bb4540465j,1
split from complex no match,http://library.ucsd.edu/ark:/20775/bb6656819t,Work title!,??? ?? (Motion picture),character problem,,,,http://library.ucsd.edu/dc/object/bb3277655n,1
split from complex no match,http://library.ucsd.edu/ark:/20775/bb4574893j,Work title!,??? ?? (Opera),Omit,,,,http://library.ucsd.edu/dc/object/bb55302375,1
split from complex no match,http://library.ucsd.edu/ark:/20775/bb48479934,not a subject,1556-1648,Omit,,,,http://library.ucsd.edu/dc/object/bb90801264,2
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb61449336,dams:topic,1621-1665,FAST,Thirty Years' War (1618-1648),http://id.worldcat.org/fast/1150141,148,http://library.ucsd.edu/dc/object/bb90801264,2
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb26294835,dams:temporal,17th Century,FAST,Seventeenth century,http://id.worldcat.org/fast/1113663,150,http://library.ucsd.edu/dc/object/bb2628850j,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb5906033x,dams:temporal,17th century,FAST,Seventeenth century,http://id.worldcat.org/fast/1113663,150,http://library.ucsd.edu/dc/object/bb71688450,1
split from complex no match,http://library.ucsd.edu/ark:/20775/bb6144949s,not a subject,1810-1819,Omit,,,,http://library.ucsd.edu/dc/object/bb7441889c,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb3585194d,not a subject,1813-1833,Omit,,,148,http://library.ucsd.edu/dc/object/bb6179078w,1
split from complex no match,http://library.ucsd.edu/ark:/20775/bb7714943x,not a subject,1846-1850,Omit,,,,http://library.ucsd.edu/dc/object/bb1605676d,1
split from complex no match,http://library.ucsd.edu/ark:/20775/bb9011792w,not a subject,1846-1850,Omit,,,,http://library.ucsd.edu/dc/object/bb6860971m,2
split from complex no match,http://library.ucsd.edu/ark:/20775/bb3858239p,Not a subject,1850-1859,Omit,,,,http://library.ucsd.edu/dc/object/bb5155178m,1
split from complex no match,http://library.ucsd.edu/ark:/20775/bb3004990r,not a subject,1850-1950,Omit,,,,http://library.ucsd.edu/dc/object/bb5598868d,1
original no match,http://library.ucsd.edu/ark:/20775/bb2766051h,dams:temporal,1870-1880,Local,1870-1880,,,http://library.ucsd.edu/dc/object/bb9284510p,8
original no match,http://library.ucsd.edu/ark:/20775/bb4609069c,dams:temporal,1880-1890,Local,1880-1890,,,http://library.ucsd.edu/dc/object/bb2048943r,70
original no match,http://library.ucsd.edu/ark:/20775/bb6554477q,dams:temporal,1890-1900,Local,1890-1900,,,http://library.ucsd.edu/dc/object/bb6963661c,214
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb9182442j,dams:temporal,18th century,FAST,Eighteenth century,http://id.worldcat.org/fast/904058,150,http://library.ucsd.edu/dc/object/bb3482101x,1
split from complex no match,http://library.ucsd.edu/ark:/20775/bb62814474,not a subject,1900-1909,Omit,,,,http://library.ucsd.edu/dc/object/bb80562033,1
original no match,http://library.ucsd.edu/ark:/20775/bb0445211n,dams:temporal,1900-1910,Local,1900-1910,,,http://library.ucsd.edu/dc/object/bb64175871,398
original no match,http://library.ucsd.edu/ark:/20775/bb27326340,dams:temporal,1900-1933,Local,1900-1933,,,http://library.ucsd.edu/dc/object/bb5292384j,5
original no match,http://library.ucsd.edu/ark:/20775/bb2527846d,dams:temporal,1900-1939,Local,1900-1939,,,http://library.ucsd.edu/dc/object/bb94562426,3
original no match,http://library.ucsd.edu/ark:/20775/bb5598836x,dams:temporal,1910-1920,Local,1910-1920,,,http://library.ucsd.edu/dc/object/bb96258002,498
original no match,http://library.ucsd.edu/ark:/20775/bb4985205q,dams:temporal,1914-1918,Local,1914-1918,,,http://library.ucsd.edu/dc/object/bb88760246,1
original no match,http://library.ucsd.edu/ark:/20775/bb36882661,dams:temporal,1918-1930,Local,1918-1930,,,http://library.ucsd.edu/dc/object/bb88760246,1
original no match,http://library.ucsd.edu/ark:/20775/bb8910156q,dams:temporal,1918-1938,Local,1918-1938,,,http://library.ucsd.edu/dc/object/bb27667567,1
original no match,http://library.ucsd.edu/ark:/20775/bb1776993k,dams:temporal,1919-1944,Local,1919-1944,,,http://library.ucsd.edu/dc/object/bb43708737,1
original no match,http://library.ucsd.edu/ark:/20775/bb62131808,dams:temporal,1920-1930,Local,1920-1930,,,http://library.ucsd.edu/dc/object/bb7100177r,566
original no match,http://library.ucsd.edu/ark:/20775/bb1572214r,dams:temporal,1926-1939,Local,1926-1939,,,http://library.ucsd.edu/dc/object/bb6759973n,2
original no match,http://library.ucsd.edu/ark:/20775/bb44732577,dams:temporal,1929-1939,Local,1929-1939,,,http://library.ucsd.edu/dc/object/bb22206761,1
split from complex no match,http://library.ucsd.edu/ark:/20775/bb4335897t,dams:topic,1930-1939,FAST,Civil War (Spain : 1936-1939),http://id.worldcat.org/fast/1352321,,http://library.ucsd.edu/dc/object/bb06157271,1
split from complex no match,http://library.ucsd.edu/ark:/20775/bb61447826,dams:topic,1930-1939,FAST,Civil War (Spain : 1936-1939),http://id.worldcat.org/fast/1352321,,http://library.ucsd.edu/dc/object/bb96596041,98
split from complex no match,http://library.ucsd.edu/ark:/20775/bb8568013m,dams:topic,1930-1939,FAST,Civil War (Spain : 1936-1939),http://id.worldcat.org/fast/1352321,,http://library.ucsd.edu/dc/object/bb3959896g,1
original no match,http://library.ucsd.edu/ark:/20775/bb1059549j,dams:temporal,1930-1940,Local,1930-1940,,,http://library.ucsd.edu/dc/object/bb64858499,784
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb11959350,dams:topic,1931-1939,FAST,Civil War (Spain : 1936-1939),http://id.worldcat.org/fast/1352321,148,http://library.ucsd.edu/dc/object/bb1912096v,2
original no match,http://library.ucsd.edu/ark:/20775/bb5394773h,dams:temporal,1933-1941,Local,1933-1941,,,http://library.ucsd.edu/dc/object/bb66917147,1
original no match,http://library.ucsd.edu/ark:/20775/bb14356938,dams:temporal,1933-1943,Local,1933-1943,,,http://library.ucsd.edu/dc/object/bb5292384j,5
original no match,http://library.ucsd.edu/ark:/20775/bb33469637,dams:temporal,1933-1945,Local,1933-1945,,,http://library.ucsd.edu/dc/object/bb59067133,4
